model,score_vector_RMSE_m,alpha,pca_var,n_components
ridge,0.015669184923171996,0.03,0.98,
ridge,0.016163861192762852,0.03,0.99,
ridge,0.020965392515063287,0.03,,
ridge,0.0156686220318079,0.1,0.98,
ridge,0.016162421740591525,0.1,0.99,
ridge,0.02073643058538437,0.1,,
ridge,0.015667016617953777,0.3,0.98,
ridge,0.016158324852585792,0.3,0.99,
ridge,0.020227175578474997,0.3,,
ridge,0.015661445446312428,1.0,0.98,
ridge,0.016144195385277272,1.0,0.99,
ridge,0.01921432726085186,1.0,,
ridge,0.01564592830836773,3.0,0.98,
ridge,0.01610551718622446,3.0,0.99,
ridge,0.018056631088256836,3.0,,
ridge,0.015595884434878826,10.0,0.98,
ridge,0.01598709523677826,10.0,0.99,
ridge,0.016901566088199614,10.0,,
ridge,0.015481404587626457,30.0,0.98,
ridge,0.01574694812297821,30.0,0.99,
ridge,0.016087703965604307,30.0,,
ridge,0.015254433825612068,100.0,0.98,
ridge,0.015362238511443138,100.0,0.99,
ridge,0.01544156577438116,100.0,,
pls,0.015150444210566157,,0.98,8.0
pls,0.01519852552055725,,0.99,8.0
pls,0.015251742646609648,,,8.0
pls,0.015523715692497072,,0.98,16.0
pls,0.01568153837541812,,0.99,16.0
pls,0.015899894383110957,,,16.0
pls,0.015675619921168678,,0.98,32.0
pls,0.016142180214939426,,0.99,32.0
pls,0.01743792520387994,,,32.0
pls,0.015669430319225807,,0.98,48.0
pls,0.016164398816364996,,0.99,48.0
pls,0.019042184110653664,,,48.0
